,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1634430000000,0.062931,0.063035,0.062927,0.063014,328.0388,ETH/BTC,binance
0.001,1634430300000,0.063014,0.063025,0.062933,0.062949,260.1703,ETH/BTC,binance
0.002,1634430600000,0.062947,0.063,0.062917,0.06294,252.0168,ETH/BTC,binance
0.003,1634430900000,0.062936,0.062948,0.062851,0.06289,319.0665,ETH/BTC,binance
0.004,1634431200000,0.062898,0.062965,0.062884,0.062963,117.038,ETH/BTC,binance
0.005,1634431500000,0.062964,0.062974,0.062883,0.062938,173.4865,ETH/BTC,binance
0.006,1634431800000,0.062927,0.063,0.062904,0.063,196.2923,ETH/BTC,binance
0.007,1634432100000,0.063003,0.06306,0.063002,0.063039,297.6001,ETH/BTC,binance
0.008,1634432400000,0.06304,0.063139,0.06299,0.063134,815.8469,ETH/BTC,binance
0.009,1634432700000,0.063133,0.063243,0.063119,0.063243,447.9059,ETH/BTC,binance
0.01,1634433000000,0.063243,0.063285,0.063201,0.063245,441.0241,ETH/BTC,binance
0.011,1634433300000,0.063244,0.063306,0.063157,0.063171,250.954,ETH/BTC,binance
0.012,1634433600000,0.063172,0.063176,0.063096,0.063102,403.5683,ETH/BTC,binance
0.013,1634433900000,0.063103,0.063126,0.063078,0.063079,85.198,ETH/BTC,binance
0.014,1634434200000,0.063081,0.063099,0.062952,0.063032,465.5684,ETH/BTC,binance
0.015,1634434500000,0.063031,0.063058,0.062973,0.063057,262.2463,ETH/BTC,binance
0.016,1634434800000,0.063057,0.063057,0.062906,0.062922,139.8357,ETH/BTC,binance
0.017,1634435100000,0.062924,0.062972,0.062886,0.062972,195.1938,ETH/BTC,binance
0.018,1634435400000,0.062972,0.063005,0.062917,0.06296,106.8848,ETH/BTC,binance
0.019,1634435700000,0.062963,0.063035,0.062938,0.06302,98.0844,ETH/BTC,binance
0.02,1634436000000,0.06302,0.063042,0.06297,0.062977,145.6264,ETH/BTC,binance
0.021,1634436300000,0.062976,0.063041,0.062938,0.063006,117.0332,ETH/BTC,binance
0.022,1634436600000,0.063005,0.063604,0.062991,0.063106,863.0929,ETH/BTC,binance
0.023,1634436900000,0.063111,0.063132,0.063083,0.063083,636.6254,ETH/BTC,binance
0.024,1634437200000,0.063084,0.063126,0.063083,0.063084,170.1055,ETH/BTC,binance
0.025,1634437500000,0.063086,0.063133,0.063086,0.063114,167.704,ETH/BTC,binance
0.026,1634437800000,0.063115,0.063121,0.06306,0.063092,205.7556,ETH/BTC,binance
0.027,1634438100000,0.063092,0.063119,0.063068,0.063089,136.9992,ETH/BTC,binance
0.028,1634438400000,0.063088,0.063088,0.063059,0.063062,133.3184,ETH/BTC,binance
0.029,1634438700000,0.063067,0.06312,0.063047,0.063104,200.2559,ETH/BTC,binance
0.03,1634439000000,0.063103,0.063146,0.063083,0.063105,111.5538,ETH/BTC,binance
0.031,1634439300000,0.063103,0.063105,0.06297,0.063002,223.8121,ETH/BTC,binance
0.032,1634439600000,0.063002,0.063031,0.06295,0.062966,375.4493,ETH/BTC,binance
0.033,1634439900000,0.062966,0.062991,0.062941,0.062941,121.299,ETH/BTC,binance
0.034,1634440200000,0.062941,0.062984,0.06289,0.062969,656.6626,ETH/BTC,binance
0.035,1634440500000,0.062968,0.063108,0.062951,0.063108,266.7589,ETH/BTC,binance
0.036,1634440800000,0.063101,0.063185,0.063069,0.063159,333.8306,ETH/BTC,binance
0.037,1634441100000,0.063167,0.063671,0.063167,0.063434,1734.2359,ETH/BTC,binance
0.038,1634441400000,0.063434,0.06365,0.063296,0.063341,1419.4234,ETH/BTC,binance
0.039,1634441700000,0.063341,0.063407,0.06333,0.063401,103.3236,ETH/BTC,binance
0.04,1634442000000,0.063402,0.063503,0.063365,0.06347,235.0749,ETH/BTC,binance
0.041,1634442300000,0.06347,0.063472,0.063407,0.063407,166.7986,ETH/BTC,binance
0.042,1634442600000,0.063406,0.063478,0.063404,0.063477,146.2183,ETH/BTC,binance
0.043,1634442900000,0.063477,0.063499,0.063435,0.063449,326.6052,ETH/BTC,binance
0.044,1634443200000,0.063453,0.063548,0.063451,0.063529,150.4732,ETH/BTC,binance
0.045,1634443500000,0.063529,0.063811,0.063528,0.063772,710.6238,ETH/BTC,binance
0.046,1634443800000,0.06378,0.063859,0.063767,0.063814,464.2065,ETH/BTC,binance
0.047,1634444100000,0.063817,0.06385,0.063694,0.063705,289.1715,ETH/BTC,binance
0.048,1634444400000,0.0637,0.063747,0.063688,0.063723,198.5514,ETH/BTC,binance
0.049,1634444700000,0.063723,0.063762,0.063709,0.063713,217.8293,ETH/BTC,binance
0.05,1634445000000,0.063713,0.063713,0.063585,0.063627,277.9836,ETH/BTC,binance
0.051,1634445300000,0.063628,0.063639,0.063584,0.063585,144.5569,ETH/BTC,binance
0.052,1634445600000,0.063588,0.063633,0.063586,0.063604,150.7899,ETH/BTC,binance
0.053,1634445900000,0.063604,0.063627,0.063532,0.063624,315.042,ETH/BTC,binance
0.054,1634446200000,0.063626,0.063632,0.063543,0.063559,160.5505,ETH/BTC,binance
0.055,1634446500000,0.063574,0.063607,0.063521,0.063607,111.4346,ETH/BTC,binance
0.056,1634446800000,0.063608,0.063689,0.063586,0.063609,197.9849,ETH/BTC,binance
0.057,1634447100000,0.06361,0.063744,0.06361,0.063741,372.205,ETH/BTC,binance
0.058,1634447400000,0.063743,0.063769,0.063726,0.063746,201.9264,ETH/BTC,binance
0.059,1634447700000,0.063747,0.063753,0.063643,0.063653,224.2765,ETH/BTC,binance
0.06,1634448000000,0.063644,0.063644,0.06352,0.063593,212.4752,ETH/BTC,binance
0.061,1634448300000,0.063594,0.063616,0.063542,0.063614,136.9369,ETH/BTC,binance
0.062,1634448600000,0.063616,0.063628,0.063497,0.063528,202.0983,ETH/BTC,binance
0.063,1634448900000,0.063527,0.063609,0.063527,0.063579,129.8236,ETH/BTC,binance
0.064,1634449200000,0.06358,0.063675,0.063578,0.063648,317.6695,ETH/BTC,binance
0.065,1634449500000,0.063647,0.063648,0.063567,0.0636,160.5061,ETH/BTC,binance
0.066,1634449800000,0.063605,0.063623,0.063522,0.063527,677.0092,ETH/BTC,binance
0.067,1634450100000,0.063534,0.063623,0.063534,0.063588,206.4754,ETH/BTC,binance
0.068,1634450400000,0.063588,0.063649,0.063566,0.063635,315.8751,ETH/BTC,binance
0.069,1634450700000,0.063631,0.06365,0.063612,0.063649,95.9915,ETH/BTC,binance
0.07,1634451000000,0.06365,0.063706,0.063642,0.063679,177.088,ETH/BTC,binance
0.071,1634451300000,0.063678,0.06385,0.063678,0.063812,296.5496,ETH/BTC,binance
0.072,1634451600000,0.063811,0.063897,0.063793,0.063804,186.1343,ETH/BTC,binance
0.073,1634451900000,0.063803,0.063905,0.063784,0.063889,212.6333,ETH/BTC,binance
0.074,1634452200000,0.063886,0.06391,0.063829,0.063853,196.2288,ETH/BTC,binance
0.075,1634452500000,0.063852,0.063911,0.063852,0.063879,105.79,ETH/BTC,binance
0.076,1634452800000,0.063881,0.063919,0.063863,0.063904,127.6335,ETH/BTC,binance
0.077,1634453100000,0.063908,0.06392,0.063808,0.063813,289.3476,ETH/BTC,binance
0.078,1634453400000,0.063812,0.063852,0.063809,0.063831,138.3558,ETH/BTC,binance
0.079,1634453700000,0.06383,0.063861,0.063814,0.063857,106.7124,ETH/BTC,binance
0.08,1634454000000,0.063857,0.063955,0.063817,0.06392,245.2506,ETH/BTC,binance
0.081,1634454300000,0.063925,0.063958,0.063896,0.063953,114.3605,ETH/BTC,binance
0.082,1634454600000,0.06395,0.064042,0.063949,0.06401,327.1095,ETH/BTC,binance
0.083,1634454900000,0.064011,0.064148,0.06394,0.064116,366.2561,ETH/BTC,binance
0.084,1634455200000,0.064117,0.06443,0.064116,0.064297,1343.042,ETH/BTC,binance
0.085,1634455500000,0.064296,0.064296,0.064245,0.064246,435.3251,ETH/BTC,binance
0.086,1634455800000,0.064247,0.064359,0.064129,0.064129,736.9178,ETH/BTC,binance
0.087,1634456100000,0.064129,0.064179,0.064043,0.064116,338.15,ETH/BTC,binance
0.088,1634456400000,0.064117,0.064187,0.06411,0.064152,140.0064,ETH/BTC,binance
0.089,1634456700000,0.064151,0.064272,0.064061,0.064244,465.2031,ETH/BTC,binance
0.09,1634457000000,0.064244,0.06428,0.064159,0.064202,952.5516,ETH/BTC,binance
0.091,1634457300000,0.064206,0.064334,0.064206,0.064268,480.5152,ETH/BTC,binance
0.092,1634457600000,0.064273,0.064336,0.064242,0.064282,292.8248,ETH/BTC,binance
0.093,1634457900000,0.064281,0.0643,0.064247,0.064287,259.9346,ETH/BTC,binance
0.094,1634458200000,0.064289,0.064325,0.064251,0.064272,266.7899,ETH/BTC,binance
0.095,1634458500000,0.064269,0.064308,0.064232,0.064305,271.2329,ETH/BTC,binance
0.096,1634458800000,0.064305,0.064328,0.064126,0.064157,447.7867,ETH/BTC,binance
0.097,1634459100000,0.06416,0.064193,0.064058,0.064105,195.4845,ETH/BTC,binance
0.098,1634459400000,0.064106,0.064197,0.064077,0.064167,313.5256,ETH/BTC,binance
0.099,1634459700000,0.064171,0.064201,0.064104,0.06411,319.5574,ETH/BTC,binance
0.1,1634460000000,0.064111,0.064143,0.064059,0.064059,173.9666,ETH/BTC,binance
0.101,1634460300000,0.064057,0.064121,0.064057,0.064103,126.9443,ETH/BTC,binance
0.102,1634460600000,0.064103,0.064132,0.064083,0.06409,98.437,ETH/BTC,binance
0.103,1634460900000,0.064089,0.064096,0.064048,0.064084,160.4354,ETH/BTC,binance
0.104,1634461200000,0.064086,0.064121,0.064047,0.064066,172.7588,ETH/BTC,binance
0.105,1634461500000,0.064067,0.064074,0.064014,0.064053,122.2052,ETH/BTC,binance
0.106,1634461800000,0.064053,0.06406,0.064003,0.064019,174.4669,ETH/BTC,binance
0.107,1634462100000,0.064019,0.06403,0.063834,0.063844,410.2308,ETH/BTC,binance
0.108,1634462400000,0.063845,0.063974,0.063837,0.063959,400.4215,ETH/BTC,binance
0.109,1634462700000,0.063959,0.063976,0.06389,0.063892,170.1077,ETH/BTC,binance
0.11,1634463000000,0.063895,0.064057,0.063884,0.064012,230.0596,ETH/BTC,binance
0.111,1634463300000,0.064017,0.064052,0.063933,0.063934,147.6458,ETH/BTC,binance
0.112,1634463600000,0.063934,0.063938,0.063647,0.063667,1257.6134,ETH/BTC,binance
0.113,1634463900000,0.063667,0.063747,0.063652,0.063664,401.7833,ETH/BTC,binance
0.114,1634464200000,0.063664,0.063667,0.063568,0.063592,192.9146,ETH/BTC,binance
0.115,1634464500000,0.063592,0.063617,0.0635,0.063596,585.2625,ETH/BTC,binance
0.116,1634464800000,0.063595,0.063677,0.063572,0.063572,372.3732,ETH/BTC,binance
0.117,1634465100000,0.063577,0.063612,0.063488,0.063598,493.0305,ETH/BTC,binance
0.118,1634465400000,0.063604,0.063749,0.063575,0.063722,170.9046,ETH/BTC,binance
0.119,1634465700000,0.063727,0.063727,0.063618,0.06365,383.173,ETH/BTC,binance
0.12,1634466000000,0.06365,0.063671,0.063602,0.063659,216.3377,ETH/BTC,binance
0.121,1634466300000,0.063663,0.063665,0.063607,0.063634,66.4527,ETH/BTC,binance
0.122,1634466600000,0.063634,0.063651,0.063528,0.063598,175.636,ETH/BTC,binance
0.123,1634466900000,0.0636,0.063672,0.06352,0.063524,240.8421,ETH/BTC,binance
0.124,1634467200000,0.06353,0.063586,0.063434,0.063529,326.2426,ETH/BTC,binance
0.125,1634467500000,0.063526,0.063576,0.063489,0.063543,150.8463,ETH/BTC,binance
0.126,1634467800000,0.063545,0.063576,0.063488,0.063526,172.8675,ETH/BTC,binance
0.127,1634468100000,0.063526,0.063554,0.063522,0.063535,152.2472,ETH/BTC,binance
0.128,1634468400000,0.063536,0.063591,0.063536,0.063568,127.0501,ETH/BTC,binance
0.129,1634468700000,0.063566,0.063613,0.063551,0.063572,127.2534,ETH/BTC,binance
0.13,1634469000000,0.063568,0.063579,0.063507,0.063515,91.7006,ETH/BTC,binance
0.131,1634469300000,0.063528,0.063555,0.063485,0.063527,118.3019,ETH/BTC,binance
0.132,1634469600000,0.063523,0.063541,0.063456,0.063468,132.2977,ETH/BTC,binance
0.133,1634469900000,0.063476,0.063489,0.063448,0.063473,288.677,ETH/BTC,binance
0.134,1634470200000,0.063473,0.063482,0.063416,0.063436,231.2187,ETH/BTC,binance
0.135,1634470500000,0.063429,0.063491,0.063321,0.063324,423.0313,ETH/BTC,binance
0.136,1634470800000,0.063324,0.063434,0.06332,0.063415,249.5015,ETH/BTC,binance
0.137,1634471100000,0.06341,0.063425,0.063352,0.063376,189.1438,ETH/BTC,binance
0.138,1634471400000,0.06338,0.063483,0.063374,0.063424,199.6612,ETH/BTC,binance
0.139,1634471700000,0.063431,0.063465,0.063299,0.063316,224.8714,ETH/BTC,binance
0.14,1634472000000,0.063316,0.063386,0.063276,0.063297,430.3304,ETH/BTC,binance
0.141,1634472300000,0.063297,0.063351,0.063261,0.063316,366.0109,ETH/BTC,binance
0.142,1634472600000,0.063325,0.063339,0.063261,0.063271,475.8105,ETH/BTC,binance
0.143,1634472900000,0.063267,0.063338,0.063244,0.06331,140.3617,ETH/BTC,binance
0.144,1634473200000,0.063309,0.063325,0.063187,0.063191,281.4305,ETH/BTC,binance
0.145,1634473500000,0.063194,0.063337,0.063169,0.063286,277.4809,ETH/BTC,binance
0.146,1634473800000,0.063285,0.063304,0.06325,0.063255,183.4076,ETH/BTC,binance
0.147,1634474100000,0.063254,0.063294,0.063234,0.063243,174.2519,ETH/BTC,binance
0.148,1634474400000,0.063242,0.063277,0.063214,0.063216,152.1649,ETH/BTC,binance
0.149,1634474700000,0.063216,0.063315,0.063216,0.063312,225.7972,ETH/BTC,binance
0.15,1634475000000,0.063312,0.063361,0.0633,0.063352,237.3391,ETH/BTC,binance
0.151,1634475300000,0.063356,0.063363,0.063288,0.063326,170.1611,ETH/BTC,binance
0.152,1634475600000,0.063328,0.063361,0.0633,0.063304,123.1812,ETH/BTC,binance
0.153,1634475900000,0.063301,0.063324,0.063281,0.063303,86.5121,ETH/BTC,binance
0.154,1634476200000,0.063302,0.063302,0.063161,0.063205,338.3817,ETH/BTC,binance
0.155,1634476500000,0.063204,0.063204,0.062945,0.06313,1026.2317,ETH/BTC,binance
0.156,1634476800000,0.063131,0.063217,0.063098,0.0632,331.8888,ETH/BTC,binance
