,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1632697500000,0.070635,0.07081,0.070598,0.070616,613.7915,ETH/BTC,binance
0.001,1632697800000,0.070614,0.070748,0.07054,0.070632,418.0917,ETH/BTC,binance
0.002,1632698100000,0.070622,0.070735,0.070622,0.070629,153.1479,ETH/BTC,binance
0.003,1632698400000,0.070632,0.070755,0.070628,0.0707,381.67,ETH/BTC,binance
0.004,1632698700000,0.070701,0.070703,0.070495,0.070577,468.338,ETH/BTC,binance
0.005,1632699000000,0.070577,0.070595,0.070386,0.070431,354.036,ETH/BTC,binance
0.006,1632699300000,0.070434,0.070501,0.07041,0.070465,135.6205,ETH/BTC,binance
0.007,1632699600000,0.070472,0.070551,0.070467,0.070528,158.9149,ETH/BTC,binance
0.008,1632699900000,0.070524,0.070681,0.070517,0.070681,282.5758,ETH/BTC,binance
0.009,1632700200000,0.070661,0.070935,0.070638,0.070867,440.5394,ETH/BTC,binance
0.01,1632700500000,0.070876,0.070935,0.070823,0.070881,262.7659,ETH/BTC,binance
0.011,1632700800000,0.07088,0.070941,0.070714,0.070858,396.3197,ETH/BTC,binance
0.012,1632701100000,0.070864,0.070864,0.07059,0.070615,274.7883,ETH/BTC,binance
0.013,1632701400000,0.070616,0.070659,0.070562,0.070578,150.929,ETH/BTC,binance
0.014,1632701700000,0.070579,0.070584,0.070491,0.070539,186.9334,ETH/BTC,binance
0.015,1632702000000,0.070543,0.070562,0.070493,0.070523,148.5468,ETH/BTC,binance
0.016,1632702300000,0.070526,0.070633,0.070526,0.070618,241.1475,ETH/BTC,binance
0.017,1632702600000,0.07062,0.070733,0.070605,0.070698,215.7976,ETH/BTC,binance
0.018,1632702900000,0.070704,0.070824,0.070653,0.070824,194.841,ETH/BTC,binance
0.019,1632703200000,0.070824,0.071231,0.070822,0.071126,1006.044,ETH/BTC,binance
0.02,1632703500000,0.071118,0.071382,0.071118,0.071353,905.545,ETH/BTC,binance
0.021,1632703800000,0.071352,0.071539,0.071282,0.071446,1344.297,ETH/BTC,binance
0.022,1632704100000,0.071446,0.071614,0.07133,0.071506,733.3343,ETH/BTC,binance
0.023,1632704400000,0.071516,0.071527,0.071283,0.071389,564.9796,ETH/BTC,binance
0.024,1632704700000,0.071393,0.071404,0.071289,0.071358,223.4792,ETH/BTC,binance
0.025,1632705000000,0.071358,0.071659,0.07135,0.071618,569.5437,ETH/BTC,binance
0.026,1632705300000,0.071622,0.071632,0.071328,0.071331,312.5792,ETH/BTC,binance
0.027,1632705600000,0.071329,0.07142,0.071301,0.071353,319.3056,ETH/BTC,binance
0.028,1632705900000,0.07135,0.071512,0.071304,0.071458,449.1317,ETH/BTC,binance
0.029,1632706200000,0.071458,0.071479,0.071379,0.071459,287.9343,ETH/BTC,binance
0.03,1632706500000,0.071457,0.071486,0.071219,0.071355,659.859,ETH/BTC,binance
0.031,1632706800000,0.071352,0.071416,0.07127,0.071283,372.5223,ETH/BTC,binance
0.032,1632707100000,0.071277,0.071419,0.071232,0.071385,232.4779,ETH/BTC,binance
0.033,1632707400000,0.071385,0.071472,0.071345,0.071421,244.207,ETH/BTC,binance
0.034,1632707700000,0.071415,0.071467,0.071346,0.071365,220.206,ETH/BTC,binance
0.035,1632708000000,0.07138,0.071437,0.071301,0.071378,299.1561,ETH/BTC,binance
0.036,1632708300000,0.071379,0.071449,0.071303,0.071319,294.55,ETH/BTC,binance
0.037,1632708600000,0.071318,0.071323,0.071264,0.071287,190.6445,ETH/BTC,binance
0.038,1632708900000,0.071288,0.071288,0.071125,0.071215,303.7114,ETH/BTC,binance
0.039,1632709200000,0.071217,0.071259,0.071186,0.07119,140.8994,ETH/BTC,binance
0.04,1632709500000,0.071185,0.071233,0.071109,0.071116,163.4222,ETH/BTC,binance
0.041,1632709800000,0.071116,0.071174,0.071034,0.071042,149.4328,ETH/BTC,binance
0.042,1632710100000,0.071043,0.071102,0.071034,0.071064,192.5972,ETH/BTC,binance
0.043,1632710400000,0.071068,0.071124,0.071049,0.071065,184.5929,ETH/BTC,binance
0.044,1632710700000,0.071062,0.071087,0.07075,0.070826,560.6968,ETH/BTC,binance
0.045,1632711000000,0.070834,0.071165,0.070819,0.071165,346.9366,ETH/BTC,binance
0.046,1632711300000,0.071163,0.071163,0.071016,0.071078,246.9002,ETH/BTC,binance
0.047,1632711600000,0.071075,0.071223,0.071047,0.071151,452.0294,ETH/BTC,binance
0.048,1632711900000,0.071152,0.071188,0.07107,0.071095,191.0484,ETH/BTC,binance
0.049,1632712200000,0.071093,0.07126,0.071093,0.071252,182.2818,ETH/BTC,binance
0.05,1632712500000,0.071252,0.071259,0.071064,0.071064,149.0966,ETH/BTC,binance
0.051,1632712800000,0.071063,0.071083,0.070945,0.070976,183.9425,ETH/BTC,binance
0.052,1632713100000,0.070972,0.071061,0.07095,0.071012,279.8344,ETH/BTC,binance
0.053,1632713400000,0.071015,0.071071,0.070949,0.071006,171.9402,ETH/BTC,binance
0.054,1632713700000,0.07101,0.071053,0.070988,0.071019,123.7196,ETH/BTC,binance
0.055,1632714000000,0.071013,0.07102,0.07083,0.070924,146.197,ETH/BTC,binance
0.056,1632714300000,0.070924,0.070965,0.070846,0.070865,235.21,ETH/BTC,binance
0.057,1632714600000,0.070872,0.07115,0.070872,0.071064,684.0912,ETH/BTC,binance
0.058,1632714900000,0.071072,0.07115,0.071056,0.071117,149.6037,ETH/BTC,binance
0.059,1632715200000,0.071111,0.071178,0.071047,0.071178,160.6867,ETH/BTC,binance
