,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1631827200000,0.074441,0.074495,0.074305,0.074339,111.494,ETH/BTC,binance
0.001,1631827500000,0.074339,0.074442,0.074324,0.074424,99.9928,ETH/BTC,binance
0.002,1631827800000,0.074416,0.074458,0.074387,0.074455,84.5231,ETH/BTC,binance
0.003,1631828100000,0.074442,0.074511,0.074435,0.074481,68.0167,ETH/BTC,binance
0.004,1631828400000,0.074477,0.074542,0.074328,0.074447,102.9763,ETH/BTC,binance
0.005,1631828700000,0.074461,0.074561,0.074369,0.074487,173.9738,ETH/BTC,binance
0.006,1631829000000,0.074464,0.074569,0.074452,0.074527,111.2359,ETH/BTC,binance
0.007,1631829300000,0.07454,0.074669,0.07452,0.074638,418.4052,ETH/BTC,binance
0.008,1631829600000,0.074656,0.074734,0.07456,0.07464,165.2723,ETH/BTC,binance
0.009,1631829900000,0.074641,0.074675,0.074577,0.074602,151.4457,ETH/BTC,binance
0.01,1631830200000,0.074591,0.074596,0.074516,0.074516,259.6007,ETH/BTC,binance
0.011,1631830500000,0.074515,0.074525,0.074451,0.074477,393.3673,ETH/BTC,binance
0.012,1631830800000,0.074481,0.07452,0.074334,0.074341,161.0085,ETH/BTC,binance
0.013,1631831100000,0.074341,0.074347,0.07425,0.074303,133.1688,ETH/BTC,binance
0.014,1631831400000,0.074302,0.07436,0.074267,0.074356,183.4574,ETH/BTC,binance
0.015,1631831700000,0.074359,0.074534,0.074357,0.074483,152.4654,ETH/BTC,binance
0.016,1631832000000,0.074481,0.074528,0.074474,0.074494,62.4661,ETH/BTC,binance
0.017,1631832300000,0.074489,0.07453,0.074385,0.074511,115.5873,ETH/BTC,binance
0.018,1631832600000,0.074516,0.074598,0.074498,0.074522,119.136,ETH/BTC,binance
0.019,1631832900000,0.074517,0.074619,0.074517,0.074598,92.1275,ETH/BTC,binance
0.02,1631833200000,0.074589,0.074592,0.07446,0.074559,212.3733,ETH/BTC,binance
0.021,1631833500000,0.074558,0.074803,0.074558,0.074768,289.4507,ETH/BTC,binance
0.022,1631833800000,0.074758,0.074802,0.074686,0.074711,259.0091,ETH/BTC,binance
0.023,1631834100000,0.074713,0.074796,0.074679,0.074778,112.0803,ETH/BTC,binance
0.024,1631834400000,0.074766,0.074812,0.07474,0.074772,146.6823,ETH/BTC,binance
