,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1635930000000,0.07275,0.072796,0.072678,0.072681,190.4394,ETH/BTC,binance
0.001,1635930300000,0.072681,0.072773,0.07268,0.072766,114.1538,ETH/BTC,binance
0.002,1635930600000,0.072772,0.072844,0.072772,0.072805,251.2284,ETH/BTC,binance
0.003,1635930900000,0.072802,0.072844,0.072784,0.072817,312.7493,ETH/BTC,binance
0.004,1635931200000,0.072817,0.072851,0.072804,0.072833,163.9217,ETH/BTC,binance
0.005,1635931500000,0.07283,0.072902,0.072783,0.072878,286.8457,ETH/BTC,binance
0.006,1635931800000,0.072872,0.07288,0.072807,0.072838,175.919,ETH/BTC,binance
0.007,1635932100000,0.072837,0.07287,0.072807,0.072821,178.6705,ETH/BTC,binance
0.008,1635932400000,0.072823,0.072875,0.072823,0.07284,102.1947,ETH/BTC,binance
0.009,1635932700000,0.072839,0.072889,0.072834,0.072876,149.4623,ETH/BTC,binance
0.01,1635933000000,0.072876,0.072897,0.072667,0.072673,1946.5755,ETH/BTC,binance
0.011,1635933300000,0.072674,0.072674,0.072539,0.072599,699.1633,ETH/BTC,binance
0.012,1635933600000,0.072595,0.072745,0.072588,0.072703,137.98,ETH/BTC,binance
0.013,1635933900000,0.072699,0.072774,0.072675,0.072764,141.4276,ETH/BTC,binance
0.014,1635934200000,0.072763,0.072779,0.072627,0.072676,182.4649,ETH/BTC,binance
0.015,1635934500000,0.072676,0.072732,0.072666,0.072693,212.5862,ETH/BTC,binance
0.016,1635934800000,0.072692,0.072705,0.072651,0.072663,185.6309,ETH/BTC,binance
0.017,1635935100000,0.072665,0.072739,0.072665,0.072739,176.6648,ETH/BTC,binance
0.018,1635935400000,0.072729,0.072749,0.072707,0.072733,129.7378,ETH/BTC,binance
0.019,1635935700000,0.072733,0.07276,0.072604,0.07261,250.9084,ETH/BTC,binance
0.02,1635936000000,0.072611,0.072644,0.072486,0.072554,493.4453,ETH/BTC,binance
0.021,1635936300000,0.072553,0.072554,0.072505,0.07252,293.5067,ETH/BTC,binance
0.022,1635936600000,0.07252,0.072544,0.072484,0.072492,234.0933,ETH/BTC,binance
0.023,1635936900000,0.072486,0.07251,0.07243,0.072496,291.9516,ETH/BTC,binance
0.024,1635937200000,0.072498,0.072518,0.072398,0.072398,206.6002,ETH/BTC,binance
0.025,1635937500000,0.072399,0.072454,0.072342,0.072348,182.9301,ETH/BTC,binance
0.026,1635937800000,0.072346,0.072401,0.072321,0.072342,193.1829,ETH/BTC,binance
0.027,1635938100000,0.072338,0.072452,0.072338,0.072445,194.2494,ETH/BTC,binance
0.028,1635938400000,0.072445,0.072467,0.072295,0.07232,1343.8176,ETH/BTC,binance
0.029,1635938700000,0.072323,0.072415,0.072323,0.072345,201.6278,ETH/BTC,binance
0.03,1635939000000,0.072338,0.072463,0.072338,0.07241,145.5153,ETH/BTC,binance
0.031,1635939300000,0.07241,0.07249,0.07239,0.072484,135.4892,ETH/BTC,binance
0.032,1635939600000,0.072485,0.072517,0.072468,0.072476,146.36,ETH/BTC,binance
0.033,1635939900000,0.072475,0.072529,0.072438,0.072514,126.6824,ETH/BTC,binance
0.034,1635940200000,0.072514,0.072556,0.072488,0.072515,81.8511,ETH/BTC,binance
0.035,1635940500000,0.072515,0.072568,0.072502,0.072531,174.6766,ETH/BTC,binance
0.036,1635940800000,0.07253,0.072539,0.072415,0.072416,292.0757,ETH/BTC,binance
0.037,1635941100000,0.072415,0.072519,0.0724,0.072492,225.6896,ETH/BTC,binance
0.038,1635941400000,0.072491,0.072496,0.072426,0.07244,247.2567,ETH/BTC,binance
0.039,1635941700000,0.072439,0.072506,0.072417,0.072479,116.7741,ETH/BTC,binance
0.04,1635942000000,0.072475,0.07255,0.072475,0.0725,262.085,ETH/BTC,binance
0.041,1635942300000,0.072497,0.072497,0.072394,0.07246,485.9721,ETH/BTC,binance
0.042,1635942600000,0.07246,0.072508,0.072303,0.072446,415.0364,ETH/BTC,binance
0.043,1635942900000,0.07245,0.072501,0.072383,0.072485,296.3844,ETH/BTC,binance
0.044,1635943200000,0.072487,0.072515,0.07235,0.07241,553.5505,ETH/BTC,binance
0.045,1635943500000,0.072402,0.072416,0.072246,0.072267,531.2123,ETH/BTC,binance
0.046,1635943800000,0.072268,0.072372,0.072216,0.072372,549.0074,ETH/BTC,binance
0.047,1635944100000,0.072357,0.072464,0.072357,0.072395,188.4444,ETH/BTC,binance
