,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1634130000000,0.063027,0.06306,0.06293,0.062937,339.3537,ETH/BTC,binance
0.001,1634130300000,0.06294,0.062957,0.062844,0.062856,169.9832,ETH/BTC,binance
0.002,1634130600000,0.062857,0.062921,0.062834,0.062898,221.3093,ETH/BTC,binance
0.003,1634130900000,0.062898,0.062923,0.06284,0.062875,287.4742,ETH/BTC,binance
0.004,1634131200000,0.062874,0.062943,0.062865,0.062883,218.8131,ETH/BTC,binance
0.005,1634131500000,0.062887,0.062904,0.062846,0.062873,86.9182,ETH/BTC,binance
0.006,1634131800000,0.062856,0.062856,0.062778,0.062799,199.7961,ETH/BTC,binance
0.007,1634132100000,0.062798,0.062801,0.062706,0.062708,97.1556,ETH/BTC,binance
0.008,1634132400000,0.06271,0.062739,0.062677,0.062683,239.3451,ETH/BTC,binance
0.009,1634132700000,0.062679,0.062679,0.062549,0.06263,403.2573,ETH/BTC,binance
0.01,1634133000000,0.062628,0.062721,0.062531,0.062713,387.6697,ETH/BTC,binance
0.011,1634133300000,0.062718,0.062735,0.062691,0.062706,214.1143,ETH/BTC,binance
0.012,1634133600000,0.062701,0.062793,0.06262,0.062712,579.3487,ETH/BTC,binance
0.013,1634133900000,0.062714,0.062741,0.062423,0.062551,650.8001,ETH/BTC,binance
0.014,1634134200000,0.06256,0.062561,0.062503,0.062522,206.0621,ETH/BTC,binance
0.015,1634134500000,0.062518,0.062582,0.062459,0.062559,209.4657,ETH/BTC,binance
0.016,1634134800000,0.062559,0.062603,0.062504,0.062506,141.2748,ETH/BTC,binance
0.017,1634135100000,0.062504,0.062529,0.062441,0.062493,304.3024,ETH/BTC,binance
0.018,1634135400000,0.062495,0.063024,0.06249,0.062767,1271.1995,ETH/BTC,binance
0.019,1634135700000,0.062763,0.062919,0.062638,0.062639,601.7064,ETH/BTC,binance
0.02,1634136000000,0.062639,0.062754,0.062601,0.062606,533.0442,ETH/BTC,binance
0.021,1634136300000,0.06261,0.062666,0.062526,0.062534,241.486,ETH/BTC,binance
0.022,1634136600000,0.062533,0.062535,0.06245,0.062472,246.5788,ETH/BTC,binance
0.023,1634136900000,0.062473,0.062505,0.06244,0.0625,143.8378,ETH/BTC,binance
0.024,1634137200000,0.062503,0.06253,0.062317,0.062393,552.5124,ETH/BTC,binance
0.025,1634137500000,0.062395,0.062399,0.06214,0.062314,968.4579,ETH/BTC,binance
0.026,1634137800000,0.062316,0.062356,0.062217,0.062252,314.0377,ETH/BTC,binance
0.027,1634138100000,0.062251,0.062285,0.0621,0.062149,543.6923,ETH/BTC,binance
0.028,1634138400000,0.062148,0.062153,0.062,0.062017,562.2084,ETH/BTC,binance
0.029,1634138700000,0.062016,0.062023,0.06192,0.06193,652.7242,ETH/BTC,binance
0.03,1634139000000,0.06193,0.061978,0.061854,0.061976,330.1695,ETH/BTC,binance
0.031,1634139300000,0.061976,0.062089,0.06194,0.062063,320.7667,ETH/BTC,binance
0.032,1634139600000,0.062059,0.062153,0.062044,0.062117,230.7709,ETH/BTC,binance
0.033,1634139900000,0.062119,0.062184,0.06211,0.062123,164.4342,ETH/BTC,binance
0.034,1634140200000,0.06212,0.062148,0.062066,0.062098,156.962,ETH/BTC,binance
0.035,1634140500000,0.062096,0.062222,0.062057,0.062057,213.0117,ETH/BTC,binance
0.036,1634140800000,0.062057,0.062104,0.061993,0.062018,450.5928,ETH/BTC,binance
0.037,1634141100000,0.062026,0.062082,0.061979,0.06203,171.5182,ETH/BTC,binance
0.038,1634141400000,0.06203,0.062083,0.062028,0.062068,156.4266,ETH/BTC,binance
0.039,1634141700000,0.062067,0.062097,0.062004,0.062091,170.5261,ETH/BTC,binance
0.04,1634142000000,0.062091,0.062102,0.062013,0.062025,208.872,ETH/BTC,binance
0.041,1634142300000,0.062032,0.062039,0.0619,0.061951,335.2236,ETH/BTC,binance
0.042,1634142600000,0.061952,0.061981,0.061901,0.061912,174.9986,ETH/BTC,binance
0.043,1634142900000,0.061911,0.061923,0.061801,0.061848,390.5472,ETH/BTC,binance
0.044,1634143200000,0.061848,0.061865,0.06165,0.061666,472.2605,ETH/BTC,binance
0.045,1634143500000,0.061664,0.061699,0.061415,0.061435,946.6766,ETH/BTC,binance
0.046,1634143800000,0.061434,0.061493,0.061395,0.061443,264.5872,ETH/BTC,binance
0.047,1634144100000,0.061439,0.061486,0.061279,0.061313,612.7631,ETH/BTC,binance
0.048,1634144400000,0.061313,0.061353,0.0612,0.061336,1489.1564,ETH/BTC,binance
0.049,1634144700000,0.061339,0.061383,0.061298,0.061337,475.6604,ETH/BTC,binance
0.05,1634145000000,0.061343,0.061397,0.06132,0.061391,199.1101,ETH/BTC,binance
0.051,1634145300000,0.061396,0.061538,0.061373,0.061512,367.7175,ETH/BTC,binance
0.052,1634145600000,0.061513,0.061548,0.061498,0.061499,191.3755,ETH/BTC,binance
0.053,1634145900000,0.061499,0.061726,0.061499,0.061712,344.9468,ETH/BTC,binance
0.054,1634146200000,0.061713,0.061816,0.061697,0.061802,587.0433,ETH/BTC,binance
0.055,1634146500000,0.061805,0.061811,0.061689,0.061709,270.0668,ETH/BTC,binance
0.056,1634146800000,0.061711,0.061736,0.061651,0.061726,158.2899,ETH/BTC,binance
0.057,1634147100000,0.061725,0.061764,0.061702,0.061737,243.1526,ETH/BTC,binance
0.058,1634147400000,0.061734,0.061756,0.061592,0.061719,474.3451,ETH/BTC,binance
0.059,1634147700000,0.061718,0.061741,0.06167,0.061707,327.8378,ETH/BTC,binance
0.06,1634148000000,0.061705,0.061718,0.061655,0.061717,887.7455,ETH/BTC,binance
0.061,1634148300000,0.061718,0.062055,0.061701,0.061916,689.2541,ETH/BTC,binance
0.062,1634148600000,0.061912,0.061964,0.061906,0.061907,169.6177,ETH/BTC,binance
0.063,1634148900000,0.061909,0.061927,0.061874,0.061895,109.2511,ETH/BTC,binance
0.064,1634149200000,0.061891,0.061891,0.061801,0.061809,125.4702,ETH/BTC,binance
0.065,1634149500000,0.061815,0.061875,0.06177,0.061822,299.3605,ETH/BTC,binance
0.066,1634149800000,0.061823,0.061855,0.061787,0.061855,276.6717,ETH/BTC,binance
0.067,1634150100000,0.061849,0.061882,0.061848,0.061882,155.4315,ETH/BTC,binance
0.068,1634150400000,0.061878,0.062012,0.061826,0.061832,454.4429,ETH/BTC,binance
0.069,1634150700000,0.061831,0.061839,0.061753,0.061767,254.4643,ETH/BTC,binance
0.07,1634151000000,0.061771,0.061905,0.061732,0.061835,1129.1394,ETH/BTC,binance
0.071,1634151300000,0.061836,0.061851,0.061634,0.061634,280.4135,ETH/BTC,binance
0.072,1634151600000,0.061634,0.061674,0.061618,0.061618,271.555,ETH/BTC,binance
0.073,1634151900000,0.061618,0.061655,0.061618,0.06163,156.8394,ETH/BTC,binance
0.074,1634152200000,0.061637,0.06175,0.061632,0.06175,196.2655,ETH/BTC,binance
0.075,1634152500000,0.06175,0.061794,0.061554,0.061647,1523.3263,ETH/BTC,binance
0.076,1634152800000,0.061648,0.061737,0.061614,0.061734,155.6607,ETH/BTC,binance
0.077,1634153100000,0.061734,0.061781,0.061713,0.061757,221.0754,ETH/BTC,binance
0.078,1634153400000,0.061757,0.061835,0.061737,0.061818,157.9139,ETH/BTC,binance
0.079,1634153700000,0.061819,0.061826,0.061763,0.061763,199.5896,ETH/BTC,binance
0.08,1634154000000,0.061763,0.061763,0.061704,0.061713,128.8954,ETH/BTC,binance
0.081,1634154300000,0.06171,0.061766,0.061655,0.06176,219.6595,ETH/BTC,binance
0.082,1634154600000,0.061759,0.061765,0.06167,0.061696,181.7838,ETH/BTC,binance
0.083,1634154900000,0.061698,0.061698,0.061468,0.061497,376.7324,ETH/BTC,binance
0.084,1634155200000,0.061488,0.061536,0.061462,0.06148,285.7101,ETH/BTC,binance
0.085,1634155500000,0.061486,0.061513,0.061444,0.061513,212.1538,ETH/BTC,binance
0.086,1634155800000,0.061511,0.061753,0.061493,0.061753,474.1906,ETH/BTC,binance
0.087,1634156100000,0.061755,0.062199,0.061717,0.062079,1177.8844,ETH/BTC,binance
0.088,1634156400000,0.06208,0.062348,0.062068,0.062292,863.0447,ETH/BTC,binance
